mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7324737071990967,0.1739868874673437,0.07094359397888184,0.011610773287301559,,1000,"{'classifier__max_depth': None, 'tfidf__max_features': 1000}",0.9650511045169798,0.9614243323442137,0.9663699307616221,0.9643916913946587,0.9637203166226913,0.9641914751280332,0.0016373019092689204,2,0.995466161074932,0.9948891270299234,0.9953837276399308,0.9953837276399308,0.9957962413452027,0.9953837969459839,0.0002903765030598515
0.7427287101745605,0.03629544093848193,0.05987091064453125,0.004046805224489138,,5000,"{'classifier__max_depth': None, 'tfidf__max_features': 5000}",0.9640619848334981,0.9587866798549292,0.965710517639301,0.9686778766897461,0.9650395778364116,0.9644553273707771,0.0032259899869181044,1,0.9963729288599456,0.9959607616849394,0.9962080619899432,0.9961256285549419,0.996538081107814,0.9962410924395169,0.00019929443647554836
0.7223423004150391,0.01627684299526972,0.05978007316589355,0.008159015158573465,,,"{'classifier__max_depth': None, 'tfidf__max_features': None}",0.963402571711177,0.960435212660732,0.9663699307616221,0.9676887570062644,0.9630606860158312,0.9641914316311254,0.00256854861018896,3,0.9963729288599456,0.9959607616849394,0.9962080619899432,0.9961256285549419,0.996538081107814,0.9962410924395169,0.00019929443647554836
0.2947205066680908,0.01690486065125309,0.057925176620483396,0.005947200945473016,5,1000,"{'classifier__max_depth': 5, 'tfidf__max_features': 1000}",0.8974612594790636,0.8925156610616551,0.8968018463567425,0.8954830201121002,0.8865435356200527,0.8937610645259229,0.003988650929087177,9,0.8949798038084247,0.894402769763416,0.894402769763416,0.8938257357184074,0.8963897131552918,0.8948001584417913,0.0008745618116763511
0.2946445941925049,0.012194110909581569,0.061498069763183595,0.0078063074150593655,5,5000,"{'classifier__max_depth': 5, 'tfidf__max_features': 5000}",0.8964721397955819,0.8938344873062974,0.8968018463567425,0.8964721397955819,0.887532981530343,0.8942227189569094,0.003512121780759283,7,0.8939906025884099,0.8948149369384222,0.8946500700684198,0.8946500700684198,0.897131552917903,0.8950474465163151,0.001079842152130173
0.2929469108581543,0.015030609339717123,0.05977997779846191,0.008088291941202447,5,,"{'classifier__max_depth': 5, 'tfidf__max_features': None}",0.8958127266732608,0.8938344873062974,0.8964721397955819,0.8964721397955819,0.887532981530343,0.8940248950202131,0.003386902769736847,8,0.8939906025884099,0.8948149369384222,0.8946500700684198,0.8946500700684198,0.897131552917903,0.8950474465163151,0.001079842152130173
0.351131534576416,0.006740838630676873,0.0630110263824463,0.006066345751680731,10,1000,"{'classifier__max_depth': 10, 'tfidf__max_features': 1000}",0.9423013517969008,0.9376854599406528,0.9495548961424333,0.9416419386745796,0.9396437994722955,0.9421654892053724,0.004033000867994038,4,0.9473250350342098,0.9485615365592284,0.9451817657241778,0.949468304344242,0.9479063633366304,0.9476886009996978,0.00144174784417483
0.36592726707458495,0.01540327515383727,0.06301569938659668,0.005819994912556342,10,5000,"{'classifier__max_depth': 10, 'tfidf__max_features': 5000}",0.9386745796241345,0.9376854599406528,0.9472469502143093,0.9406528189910979,0.9379947229551451,0.940450906345068,0.0035514179779183247,6,0.9473250350342098,0.9497156046492458,0.9464182672491963,0.9495507377792433,0.9486482030992417,0.9483315695622274,0.0012787508402643088
0.36124491691589355,0.006053442190647789,0.059998941421508786,0.004134302394258705,10,,"{'classifier__max_depth': 10, 'tfidf__max_features': None}",0.9390042861852951,0.9366963402571711,0.9479063633366304,0.9416419386745796,0.9376649076517151,0.9405827672210781,0.004021609767848648,5,0.9473250350342098,0.9496331712142445,0.9464182672491963,0.9495507377792433,0.9486482030992417,0.9483150828752273,0.001261211579520098
