mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.3711864471435546,1.2818182281288815,0.0,0.0,0.1,l1,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.6664204597473145,0.26276217992029155,0.0,0.0,0.1,l1,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
1.069042730331421,1.1557442360704282,0.0,0.0,0.1,l1,,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.7319994926452636,0.3786590688092709,0.15516438484191894,0.07048706547474687,0.1,l2,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9545004945598418,0.9528519617540389,0.9508737223870755,0.9508737223870755,0.9508575197889182,0.9519914841753898,0.0014710685118826243,7,0.9548264776193224,0.9558156788393373,0.9552386447943286,0.9570521803643558,0.956396307286515,0.9558658577807717,0.0007956083366840411
0.6208751201629639,0.2103848889073792,0.13657135963439943,0.02540457688441209,0.1,l2,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9512034289482361,0.9495548961424333,0.9475766567754699,0.9488954830201121,0.9465699208443272,0.9487600771461157,0.0016010814105764937,8,0.95400214326931,0.9546616107493199,0.9544143104443162,0.9556508119693348,0.955242334322453,0.9547942421509468,0.0005871725941542813
0.5853395462036133,0.02539668965323437,0.15349760055541992,0.03327129149687421,0.1,l2,,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9512034289482361,0.9495548961424333,0.9475766567754699,0.9488954830201121,0.9465699208443272,0.9487600771461157,0.0016010814105764937,8,0.95400214326931,0.9546616107493199,0.9544143104443162,0.9556508119693348,0.955242334322453,0.9547942421509468,0.0005871725941542813
0.5040871143341065,0.032180048902171056,0.0,0.0,1,l1,1000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
1.0106735706329346,0.8429321329361458,0.0,0.0,1,l1,5000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
1.4410866260528565,1.198055213363975,0.0,0.0,1,l1,,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.5413132190704346,0.09636628126398163,0.13452448844909667,0.02903749457868668,1,l2,1000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9663699307616221,0.9676887570062644,0.9706561160567095,0.9660402242004615,0.9689973614775725,0.967950477900526,0.0017106805277132384,4,0.9757645701096365,0.975599703239634,0.9757645701096365,0.9756821366746352,0.9756841411144082,0.9756990242495901,6.158551852155336e-05
0.7893483161926269,0.8269397164326632,0.09087824821472168,0.04989788428225227,1,l2,5000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9650511045169798,0.9673590504451038,0.9690075832509067,0.9663699307616221,0.9673482849604221,0.9670271907870068,0.0013016984519851713,5,0.9778254059846674,0.9764240375896464,0.9770835050696562,0.9771659385046575,0.9774151005605012,0.9771827975418257,0.0004588616764324777
0.31186857223510744,0.02097925167427817,0.06091127395629883,0.003928807203578828,1,l2,,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9650511045169798,0.9673590504451038,0.9690075832509067,0.9663699307616221,0.9673482849604221,0.9670271907870068,0.0013016984519851713,5,0.9778254059846674,0.9764240375896464,0.9770835050696562,0.9771659385046575,0.9774151005605012,0.9771827975418257,0.0004588616764324777
0.19744343757629396,0.009986287917904946,0.0,0.0,10,l1,1000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.8115946769714355,1.2134884964042174,0.0,0.0,10,l1,5000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.2503966808319092,0.03242940482443087,0.0,0.0,10,l1,,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.29712066650390623,0.030139145298463878,0.05938897132873535,0.009138953407225396,10,l2,1000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9666996373227827,0.9683481701285855,0.9709858226178701,0.968018463567425,0.9696569920844327,0.9687418171442193,0.0014643635156634124,3,0.9844200807847663,0.9837606133047564,0.9845025142197675,0.9831835792597478,0.9848334981866139,0.9841400571511304,0.0005915194706764975
0.506211805343628,0.3413532029054705,0.48499279022216796,0.8317764738741179,10,l2,5000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9690075832509067,0.9683481701285855,0.9713155291790306,0.9699967029343884,0.9703166226912929,0.9697969216368408,0.0010332576290766205,1,0.9909323221498639,0.9888714862748331,0.9898606874948479,0.9888714862748331,0.9897790966040224,0.98966301575968,0.0007637703110534246
